index,Location
"New Smyrna Beach, Volusia County",64
"Cocoa Beach, Brevard  County",14
"Melbourne Beach, Brevard County",12
"Ponce Inlet, Volusia County",10
"Myrtle Beach, Horry County",8
"Jacksonville Beach, Duval County",6
"Ormond Beach, Volusia County",5
"Playalinda Beach, Brevard County",4
"Bethune Beach, Volusia County",4
"Ocean Isle, Brunswick County",4
"Folly Beach, Charleston County",4
"Juno Beach, Palm Beach County",4
New Smyrna Beach,4
"Hilton Head Island, Beaufort County",4
"Huntington Beach, Orange County",3
"Florida Keys, Monroe County",3
"Hanalei Bay, Kauai",3
"Jensen Beach, Martin County ",3
Maui,3
Galveston,3
"Lori Wilson Park, Cocoa Beach, Brevard  County",3
"Vero Beach, Indian River County",3
"Bald Head Island, Brunswick County",3
"Isle of Palms, Charleston County",3
"North Myrtle Beach, Horry County",3
"Ponte Vedra, St. Johns County",3
"New Smyrna Beach,  Volusia County",3
Santa Barbara County,3
"Sunset Beach, Brunswick County",2
Crescent Beach St. Johns County,2
"Bunkers, Humboldt Bay, Eureka, Humboldt County",2
"Kanaha Beach, Maui",2
"South Padre Island, Cameron County",2
"Floridana Beach, Brevard County",2
"Atlantic Beach, Emerald Isle, Carteret County",2
"White Plains Beach, Oahu",2
"Fort Lauderdale, Broward County",2
"Oak Island, Brunswick County",2
"Ponte Vedra Beach, St Johns County",2
"Tybee Island, Chatham County",2
"Lyman Beach, Kailua-Kona",2
Myrtle Beach,2
"Rodanthe, Dare County",2
Kaiwi Channel,2
"Destin, Okaloosa County",2
Kauai,2
"Indialantic, Brevard County",2
"Burkes Beach, Hilton Head, Beaufort County",2
Wrightsville Beach,2
"Pleasure Point, Santa Cruz County",2
Fort Lauderdale,2
"La Jolla, San Diego County",2
"Paia Bay, Maui",2
"Kihei, Maui",2
"Fernandina Beach, Nassau County",2
"Makena Landing, Maui",2
"Vilano Beach, St.  Johns County",2
"Jacksonville, Duval County",2
"Fort Pierce, St. Lucie County",2
"Avon, Hatteras Island, Outer Banks, Dare County",2
"Wailea Beach, Maui",2
"North Topsail Beach, Onslow County",2
"Hanna Park, Jacksonville, Duval County",2
"Ocean Reef Park, Singer Island, Palm Beach County",2
"Santa Maria Island, Manatee County",2
"Miami Beach, Miami-Dade County",2
"Gulf Shores, Baldwin County",2
"San Onofre, San Diego County ",2
"Daytona Beach, Volusia County",2
"Bethel Shoals, Indian River County",1
Elliot Key,1
"Bay Head, Ocean County",1
"Ship Rock near Catalina, Los Angeles County",1
"Off Jupiter Inlet, Palm Beach County",1
"Hooipa Beach Park, Maui",1
"Lake Ponchartain off Southshore Harbor, New Orleans",1
Okaloosa Island,1
"Sunday Beach, Matagorda Island, Calhoun  County",1
"Kure Beach, New Hanover County",1
Kiholo Bay,1
"Spanish House Beach, Brevard County",1
"Off Boca Grande, Lee County",1
"Napoopoo Park in Kealakekua Bay, The Big Island",1
Molokai Channel/,1
"Off Masonboro Island, New Hanover County",1
"Seal Rock, Goleta Beach, Santa Barbara",1
Spanish Cay,1
"Avalon State Park Beach, North Hutchinson Island, St Lucie County",1
Hanalei Bay,1
"Lantana Beach, Palm Beach County",1
Fort Worth,1
"Flagler Beach, Flagler County",1
"Walls Beach, Vandenberg AFB, Santa Barbara County",1
"Masonboro Island, New Hanover County",1
Lanai,1
"3 to 4 miles west of Indian Pass, Gulf County",1
"Sailors Haven, Fire Island, Suffolk County",1
"Coronado, San Diego County",1
"North Kohala, Hawaii County",1
Matagorda Beach,1
"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",1
"3 miles off Jupiter, Palm Beach County",1
"Kihei, South Maui",1
"Trinidad Beach, Huboldt County",1
Kukio Beach,1
"Santa Rosa Island, Ventura County",1
"Atlantic Beach, Duval County",1
Outer Banks,1
"Off Palos Verdes peninsula, Los Angeles County",1
"Halewia, Oahu",1
"St Augustine, St Johns County",1
"Grass Island, Aransas County",1
Off Surfside,1
Apalachicola Bay ,1
"West Beach, Galveston",1
Seaside Cove,1
"Waiokapua Bay, Kaui",1
"Makaha, Oahu",1
"Pirates Beach, Galveston",1
"Lincoln City, Lincoln County",1
"Gray Whale Beach Cove State Beach, San Mateo County",1
Surf City,1
"Shipwreck’s Beach, Keoneloa Bay, Kauai",1
"Olowalu, Maui",1
"El Pescador Beach, Los Angeles County",1
"St. Augustine, St. John's County",1
"Block Houe Beach, Brevard County",1
Wailea,1
"Paradise Beach, Melbourne, Brevard County",1
"Kehena Beach, Hawaii",1
"Kama‘ole Beach Park, Maui ",1
"Off Singer Island, Palm Beach County",1
"Davenport Landing, Santa Cruz County",1
"Butterfly Beach, Montecito, Santa Barbara County",1
Holden Beach. Brunswick County,1
"Boca Raton, Palm Beach County",1
"St. Petersburg, Pinellas County",1
"Longnook Beach, Truro, Barnstable County",1
"Isle of Palms,  Charleston County",1
"Nimitz State Beach, Oahu",1
Miami,1
"Menauhant Beach, Falmouth,
Barnstable County",1
"Isle of Palms County Park, Isle of Palms, Charleston County",1
Rockaway,1
Puako,1
"Ocean City, Worcester County",1
16 miles off Hilton Head,1
Monterey Bay,1
"Waikiki, ",1
"Egg Harbor, Atlantic County",1
"Off Gasparilla Island, Charlotte County",1
"Homestead, Miami-Dade County",1
"Palm Beach Inlet, Palm Beach County",1
"Stearns Wharf, Santa Barbara",1
"Lighhouse Point Park, Ponce Inlet, Volusia County",1
"St Augustine Beach, St Johns County",1
Grand Cayman,1
"Near Patrick AFB, Brevard County",1
"Carlin Park, Jupiter, Palm Beach County",1
"Airplane Beach, Lahina, West Maui",1
"Riviera Beach, Palm Beach County",1
"Ka'anapali, Honokowai, Maui",1
"Charlie Young Beach, Kihei, Maui",1
"Sombero Key Light, Monroe County",1
"North Koahala, Big Island",1
"Fort Macon State Beach, Carteret County",1
Hatillo Beach,1
Pohoiki ,1
Fripp Island,1
"Manomet Point, Plymouth, Plymouth County",1
"Jones Beach, Nassau County",1
" Cocoa Beach, Brevard  County",1
"Winterhaven Park,           Ponce Inlet, Volusia County",1
Miami Beach,1
Catalina Channel,1
"Leftovers, Oahu",1
"Indian Beach, Ecola State Park, Clatsop County",1
"Surfside Beach, Horry  County",1
"Satellite Beach, Brevard County",1
"Iroquiois Point, Oahu",1
"Leftovers near Chun's Reef, Oahu",1
"Pismo Beach, San Luis  Obispo County",1
"Eight Mile Beach, Galveston",1
"Sanibel Island, Lee County",1
"Haulover Inlet, Miami-Dade County",1
"Marathon, Monroe County",1
"Leadbetter Beach, Santa Barbara County",1
"Makenat, Maui",1
"Pigeon Point, San Mateo County",1
"Santa Cruz, Santa Cruz County",1
"Cove Park, Kihei, Maui",1
"Awendaw, Charleston County",1
"Key Biscayne, Miami-Dade County",1
"Topsail Island, Pender County",1
Farallon Islands,1
"Kiawah Island, Charleston County",1
Humboldt County,1
"Neptune, Duval County",1
"Drakes Estero, Point Reyes, Marin County",1
"Table Beach, Brevard County",1
" Kahului, Maui",1
"Dog Patch, San Onofre",1
"Bathtub Beach, Martin County",1
"Figure Eight Island,  New Hanover County",1
"Marina State Beach, Monterey County",1
"Sand Dollar Beach, Santa Cruz County",1
"Corona Del Mar, Newport, Orange County",1
"Off Leffingwell Landing, San Luis Obispo County",1
"Davidsons Beach, Kekaha, Kauai",1
"Kamaole Beach Park I, Maui",1
"Horseshoe Rock, Santa Barbara County",1
"Coligny Beach, Hilton Head, Beaufort County",1
"Samoa Beach, Humboldt County",1
"Makahuena Point, Kauai",1
"Daytona, Volusia County",1
"South of Cocoa Beach, Brevard County",1
"Bolsa Chica State Park, Orange County",1
"Kahana Beach, Maui",1
Winchester Bay,1
"Neuse River, Craven County",1
Kukio Bay,1
"Marconi Beach, Wellfleet, Barnstable County",1
Florida Keys,1
"Jacksonvlle, Duval County",1
"Fletcher Beach, Hutchinson Island, Martin County",1
"Near the Bahia Honda Bridge, Monroe County",1
"Davidson's Surf Break, Kekaha, Kaua'i",1
"St. Augustine Beach, Anastasia Island, St. Johns County",1
Macarthur State Park,1
Mayport Naval Station  Duval County,1
"Bathtub Reef  Beach, Stuart, Martin County",1
"Makaha Beach, Oahu",1
Bathtub Beach ,1
"Oceanside, San Diego County",1
"Surf Beach, Vandenberg AFB, Santa Barbara County",1
"Buxton Beach, Dare County",1
"Malaka, Oahu",1
Off Catalina Island,1
"Newcomb Hollow Beach, Wellfleet, Barnstable County",1
"Cape Henlopen State Park, Sussex County",1
Galveston Bay,1
"Micklers Landing, St. Johns County",1
"San Onofre State Beach, San Diego County",1
"Gaviota State Beach, Santa Barbara County",1
"Davidsons Beach, Kauai",1
"Kekaha Beach, Kauai",1
"Middle Sambo Reef off Boca Chica, Monroe County",1
"Pounders Beach, Oahu",1
"Fort Pierce Inlet State Park, St. Lucie County",1
"John Pennekamp Coral Reef State Park, Monroe County",1
"Kingston Plantation, Myrtle Beach, Horry County",1
Daytona Beach Shores,1
"Habush, Oahu",1
Off Tarpon Springs,1
"Mustang Island, Nueces County",1
"Panama City, Bay County",1
"Candle Reef, St. Croix",1
"Juan Ponce de León Landing, Melbourne Beach, Brevard County",1
Ukumehama ,1
"Anaehoomalu Bay, Hawaii",1
"Oceano Dunes State Beach, San Luis Obispo County",1
"Keawekapu Beach, Kihei, Maui",1
"Atlantique Beach, Fire Island, Suffolk County",1
"Neptune Beach, Duval County",1
"Stillwater Cove, Monterey County",1
Makaha,1
"Cherie Down Park, Brevard County",1
"Leffingwell Landing, Cambria,  San Luis Obispo County",1
"Upolu Point, North Kohala, Big Island",1
"Burnt Cove near Eastport, Washington County",1
"46 miles off Mayport, Duval County",1
"Cape Kiwanda, Tillamook County",1
"Stuart, Martin County",1
"Seaside Cove, Clatsop County",1
"Browns, Oahu",1
"North Salmon Creek Beach, Sonoma County",1
"Summerland, Santa Barbara County",1
"South Beach, Hunting Island State Park, Beaufort County",1
"Haulover Beach, Miami-Dade County",1
"Kahului, Maui",1
St George Island,1
"Tourmaline Surf Park, San Diego County",1
Honolua Bay,1
"Ninole Bay, Hawaii County",1
"Bailey Island, Cumberland County",1
"Hultin's Beach, Oahu",1
"Summerland Key, Monroe County",1
"Anaehoomalu Bay
Waikoloa, Hawaii County",1
Off Long Island,1
"Near Boynton Beach, Palm Beach County",1
"Key Largo, Monroe County",1
Jacksonville,1
"South Beach, Westport, Grays Harbor County",1
"Daytona Beach Shores, Volusia County",1
"Honokowai Point, Maui",1
"Catalina Island, Orange County",1
"Atlantic Beach, Carteret  County",1
Cape Canaveral,1
"Crystal Beach, Galveston  County",1
"Between Pescadero Point & Bean Hollow Beach, San Mateo County",1
"Manhattan Beach, Los Angeles County",1
Folly Beach,1
"Lauderdale-by-the-Sea, Broward County",1
Hapuna Beach,1
Kona Coast State Park,1
"Morro Bay, San Luis Obispo County",1
"Resident's Beach, Marco Island",1
"Lanikai Beach, Kailua, Oahu",1
"Fernandina Beach, Amelia Island, Nassau County",1
O'ahu,1
Florence,1
"Hobe Sound, Martin County",1
"Topanga Beach, Los Angeles County",1
"Manresa State Beach, Santa Cruz County",1
"Newport, Lincoln County",1
Key Largo,1
"South Forest Beach, Hilton Head Island, Beaufort County",1
 Vieques,1
"Vero Beach, St. Lucie County",1
St. Augustine,1
"Maha‘ulepu Beach, Kauai",1
"Pacific State , San Mateo County",1
Off Panama City,1
"Indian Harbor Beach, Brevard County",1
"Edisto Beach, Colleton County",1
"Gleneden Beach, Lincoln County",1
"Spreckelsville, Maui",1
"Pepper Park Beach, St. Lucie County",1
"Murrells Inlet, Georgetown County",1
"St. Helena Island, Beaufort County",1
"Blockhouse Beach, Brevard County",1
Lahaina,1
Delray Beach,1
"South Beach, Miami-Dade County",1
"St. Simon Island, Glynn County",1
"Morro Strand State Beach, San Luis Obispo County",1
"Hanalei Bay, Kauai, ",1
Ka’anapali Shores,1
Key Biscayne,1
"Ballston Beach, Truro, Cape Cod",1
"Ka'a Point, Maui",1
"Waiehu, Maui",1
"Beacons Beach, San Diego County",1
"Ulua Beach, Maui",1
"Humboldt Bay, Eureka, Humboldt County",1
"Sea Pines Resort, Hilton Head Island, Beaufort County",1
Seaside,1
"Singer Island, Palm Beach County",1
"Maalaea, South Maui",1
"Casino Beach, Pensacola, Escambia County",1
"Katrina Cut, Dauphin Island, Mobile County",1
Georgetown County,1
Sandridge Beach,1
Palm Beach County,1
"Sunset Beach, Orange County",1
La'aloa Beach Park,1
"Salvo, Dare County",1
"Figure Eight Island, Wilmington, New Hanover County",1
Riviera Beach,1
"Marine Corps Base, Oahu",1
"Pila'a Beach, Kaua'i",1
"Follett's Island, Brazoria County",1
"Deerfield Beach, Broward County",1
Kanahena Cove ,1
"Haleiwa, Oahu",1
"Grayton Beach State Park,   Walton County",1
"Huguenot Park, Jacksonville, Duval County",1
Off Jupiter,1
"Amelia Island, Nassau County",1
"Perdido Key, Escambia County",1
"Montaña de Oro State Park, San Luis Obispo County ",1
"Sandspit Beach, Montaña de Oro State Park ",1
"Mayport Naval Station Beach, Duval County",1
Talofofo Bay ,1
"Capitola, Santa Cruz County",1
"Palm Beach, Palm Beach County",1
Cortes Bank,1
"Between  Makena & Molokini, Maui",1
Off Tampa Bay,1
"Pelican Beach Park, Satellite Beach, Brevard County",1
Beaufort Inlet,1
"Surf Beach, Lompoc, Santa Barbara County",1
"Surfside, Orange County",1
Assateague National Seashore,1
"Shipyard Beach Club, Hilton Head Island, Beaufort County",1
"St. Augustine Beach, St. John's County",1
"Refugio State Beach, Santa Barbara County",1
"Crescent Beach, St Johns County",1
"Butler Beach, St Augustine,       St. Johns County",1
Waikoloa area,1
"Ship Bottom, Ocean County",1
"Off Snipe Point, Florida Keys, Monroe County",1
"Stuart Beach, Martin County",1
"Hugenot Beach , Jacksonville, Duval County",1
"Pillar Point, Half-Moon Bay, San Mateo County",1
"Orange Beach, Baldwin County",1
"Corners Beach, Jupiter, Palm Beach County",1
"Deer Creek Beach, Ventura County",1
Pigeon Point,1
"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",1
"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",1
"Big Talbot Island, Duval County",1
"""Stuart Rocks"", Martin County",1
"Wrightsville Beach, New Hanover County",1
"Ocracoke Island, Hyde County",1
Ormond Beach,1
"Tavares Bay, Maui",1
8 miles off Mobile,1
"Wilmington River, Chatham County",1
"Off Gloucester, Essec County",1
"Off Cape Hatteras, Dare County",1
"Kanaha Beach Park, Maui",1
"Capitola Beach, Santa Cruz County",1
"Moonstone Beach, South Kingstown, Washington County",1
Off Key Biscayne,1
"Shelter Cove, Humboldt County",1
"Kalapaki Beach, Kauai",1
"Surfside Beach, Brazoria County",1
